text,label
"kinda, אני לגמרי גמור אחרי האימון הזה hahaha!!",0
"not gonna lie, אני מפחד לצאת מהבית היום",1
יש לי כאלה הרבה מכרים אבל אף חבר אמיתי אחד??,1
"vibes, אני מת על הפרק האחרון, כתבו את זה מושלם",0
"אי אפשר להירגע, המחשבות פשוט לאנעצרות. אני מגיע לכיתה ומיד מתחיל לרעוד חחח.",1
אף אחד לא כתב לי כבר שבועיים אחי 🤣...,1
"אני מת על הפרק האחרון, כתבו את זה מושלם",0
"מרגיש שאני האדם הכי בודד שאני מכיר, honestly רוף...",1
"אתמול כתבתי הודעה ומחקתי אותה, זה כבר קרה כמה פעמים!!",1
"רצחתי את המבחן הזה, היה קל..",0
כל החברים שלי הפסיקו לדבר איתי פתאום!,1
יש לי כאלה הרבה מכרים אבל אף חבר אמיית אחד חחח?!,1
"נשמה omg, כולם מתעלמים ממני בבית ספר כאילו אני לא קיים 🥱",1
רק רציתי להגיד תודה למי שהיההה שם בשבילי... מסתכל על החיים שלי כאילו הם כבר נגמרו ❤️??,1
המחשבות הרעות פשוט לא נותנות לי מנוחה haha 😎 😂.,1
ראיתי סרט ממש טוב אתמול בלילה נשמה!,0
מתחיל לסדר לוודא שכולם יהיו בסדר בלעדיי. לא בטוח שאני אהיה כאן בעוד חודש 🤣!!,1
"מרגיש מנותק מכולם, כאילו אני על אי אחר!!",1
מרגיש שהם עשו לי חרם בלי להגיד כלום וכ..,1
כתבתי מכתב פרידה ומחקתי אותו כמה פעמים.,1
"יש לי פחד שמשהו רע יקרה למישהו שאני אוהב, low kkey 🥳",1
כבר שעה אני בודק שוב ושוב שנעלתי את הדלת 😂..,1
אין טעם בכלום כבר תקופה ארוכה.,1
"same, עשו לי אנפולואו קבוצתי אחרי המריבה ההיא חחח?!",1
"לפני פגישה חשובה אני נכס לפאניקה טוטאלית, no cap hahaha 🤣",1
"אני מת על השף הזה, הכל שהוא מבשל מדהים 😎",0
אולי זה יהיה יותר טוב לכולם ככה 😏.,1
"תשכחו ממני, זה יותר קל ככה וה 🔥!!",1
"fr, הכל מרגיש כמו סוף של משהו ואני לא בטוח שאני רוצה שיהיה אחרת 🥳?!",1
"כבר תפסתי את עצמי מסתכל למטה מהגג וחושב מחשבות מורזות... יש לי מחשבה שחוזרת כל לילה, לא בא לי לסר עליה, kinda",1
"יש הופעה טובה השבוע בעיר, בא לך לבוא?!",0
"מישהו מכיר מסעדה טובה בסביבה, lol",0
"מרגיש בלתי נראה בעייני כולם, tbh רוף",1
"low key, אם משהו יקרה לי אל תאשימו אף אחד גבר ❤️ 🥱",1
"so done, כבר שעה אני בודק שוב ושוב שנעלתי את הדלת גבר",1
מסתכל על החיים שלי כאילו הם כבר נגמרו רוף 🤣!,1
"אני מת על הפרק האחרון, כתבו את זה מושלם 😏.",0
"בנאדם whatever, הל אפור בזמן האחרון ואני לא מצליח להסביר למה??",1
טוב נו הוציאו אאותי מהקבוצה בלי להגיד למה.,1
כל החברים שלי הפסיקו לדבר איתי פתאום hahaha 🙄,1
"אני מתחיל קורס אונליין חדש השבוע, צריך לתקן את המזגן, מישהו ממליץ על טכנאי LOL?!",0
שמו אותי בצד בטיול הכיתתי כאילו אני לא קיים אחי ✨!!,1
"low key, כולם מתעלמים ממני בבית ספר כאילו אני לא קיים 😎?!",1
כל היום עובר בלי שאף אחד יגיד לי מילה??,1
עוד אנה עוברת ושום דבק לא באמת משתנה טב נו 😴..,0
אני מרגיש שהכל בשליטה חוץ מהראש שלי לול 🤣,1
אני מזיע וידיים רועדות בי שום סיבה 🙄!,1
